SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Grid,Noisy circle,10000,105,0,61.16,"[13.12, 10.74, 7.73, 7.36]",7,1.5234969434049574,1.6680481874232298
Ball,Noisy circle,10000,105,10.0,43.99,"[8.9, 8.2, 17.13, 9.49]",11,1.7945590336343726,1.0899883838882851
Ball,Noisy circle,10000,105,100.0,37.93,"[8.08, 7.92, 7.86, 13.79]",108,1.612787283508359,1.0729348238211196
Ball,Noisy circle,10000,105,1000.0,50.93,"[15.76, 12.75, 10.13, 11.83]",6084,1.6407910365069966,1.3397602905563721
Grid,Noisy moon,10000,105,0,45.89,"[12.82, 11.3, 11.17, 10.16]",5,1.8847002921203528,1.9508537752686181
Ball,Noisy moon,10000,105,10.0,57.52,"[13.55, 12.74, 13.67, 17.25]",12,2.028546304578288,0.6089134306719182
Ball,Noisy moon,10000,105,100.0,39.4,"[8.62, 11.54, 10.69, 8.27]",102,1.9960816898051075,0.4472990506963168
Ball,Noisy moon,10000,105,1000.0,32.15,"[8.16, 7.78, 7.87, 8.08]",6121,2.152341638283338,0.6685205246390463
Grid,Blobs,10000,105,0,36.94,"[8.53, 8.8, 10.94, 8.42]",52,32.2172559402026,0.7055347267335615
Ball,Blobs,10000,105,10.0,33.74,"[7.91, 8.28, 8.8, 8.51]",11,31.81814876925112,28.31815948066133
Ball,Blobs,10000,105,100.0,46.37,"[8.37, 9.28, 16.36, 12.12]",325,32.501335592309744,0.7494360173833295
Ball,Blobs,10000,105,1000.0,41.31,"[10.65, 10.99, 10.2, 9.12]",7746,32.179178177259395,32.060912485606224
Grid,Aniso,10000,105,0,36.76,"[9.57, 10.3, 8.64, 8.0]",60,8.84948047290831,7.836371453529145
Ball,Aniso,10000,105,10.0,31.64,"[8.28, 7.73, 7.73, 7.65]",12,13.857813180501301,9.713516526884506
Ball,Aniso,10000,105,100.0,34.51,"[7.95, 7.88, 9.62, 8.78]",454,10.07580738438108,7.619214274812756
